Nutrient,Unit of measure,Adults and Children ≥ 4 years
Fat,Grams (g),78.0
Saturated fat,Grams (g),20.0
Cholesterol,Milligrams (mg),300.0
Carbohydrate,Grams (g),275.0
Sodium,Milligrams (mg),2300.0
Dietary fiber,Grams (g),28.0
Sugar,Grams (g),50.0
Protein,Grams (g),50.0
Vitamin A,Micrograms RAE (mcg),900.0
Vitamin C,Milligrams (mg),90.0
Calcium,Milligrams (mg),1300.0
Iron,Milligrams (mg),18.0
Vitamin D,Micrograms (mcg),20.0
Vitamin E,Milligrams (mg),15.0
Vitamin K,Micrograms (mcg),120.0
Thiamin,Milligrams (mg),1.2
Riboflavin,Milligrams (mg),1.3
Niacin,Milligrams NE (mg),16.0
Vitamin B6,Milligrams (mg),1.7
Folate,Micrograms DFE (mcg),400.0
Vitamin B12,Micrograms (mcg),2.4
Biotin,Micrograms (mcg),30.0
Pantothenic acid,Milligrams (mg),5.0
Phosphorus,Milligrams (mg),1250.0
Iodine,Micrograms (mcg),150.0
Magnesium,Milligrams (mg),420.0
Zinc,Milligrams (mg),11.0
Selenium,Micrograms (mcg),55.0
Copper,Milligrams (mg),0.9
Manganese,Milligrams (mg),2.3
Chromium,Micrograms (mcg),35.0
Molybdenum,Micrograms (mcg),45.0
Chloride,Milligrams (mg),2300.0
Potassium,Milligrams (mg),4700.0
Choline,Milligrams (mg),550.0
